pid,birthyr,age,male1,educ,faminc,region,trump
1,1944,74,1,6,NA,4,0
3,1991,27,2,3,5,1,86
1,1990,28,2,3,3,3,NA
3,1991,27,2,3,9,4,2
7,1972,46,1,2,6,3,87
7,1998,20,2,3,NA,2,68
3,1981,37,1,5,7,2,35
3,1984,34,2,3,7,3,2
1,1971,47,2,3,2,3,0
7,1963,55,2,3,10,3,93
4,1962,56,2,3,3,2,76
2,1985,33,1,6,3,4,0
2,1942,76,2,5,8,2,0
5,1962,56,1,5,4,3,25
2,1952,66,1,2,2,3,29
NA,1981,37,2,4,5,3,0
1,1984,34,1,6,11,1,0
4,1977,41,2,3,7,3,68
7,1943,75,1,3,8,1,100
2,1953,65,2,5,NA,4,6
1,1944,74,2,3,7,3,8
1,1940,78,1,3,3,2,19
7,1952,66,2,6,NA,2,98
2,1935,83,1,5,6,4,16
3,1960,58,1,5,14,3,1
1,1960,58,2,5,6,4,3
3,1961,57,2,2,4,4,40
4,1961,57,2,4,1,4,56
4,1988,30,1,2,3,2,0
5,1969,49,2,4,NA,4,95
7,1936,82,2,3,NA,3,90
7,1969,49,2,3,7,3,90
6,1974,44,2,3,10,2,90
3,1963,55,1,3,8,3,2
1,1944,74,2,6,11,1,0
6,1955,63,1,3,8,4,99
3,1955,63,1,2,1,3,5
3,1991,27,2,3,5,3,1
7,1971,47,1,6,8,3,72
1,1951,67,2,3,4,3,0
7,1989,29,2,5,7,2,96
1,1955,63,1,3,7,3,0
7,1950,68,1,5,11,2,91
1,1964,54,1,6,11,3,0
1,1940,78,2,4,2,3,40
